Route,likely_gender,comment
Center Start,male," Good climb. About same difficulty as v2 to the left, although it’s less reachy. Topout on v2 is easier"
Slots of Fun,male, Finally! Being tall helps. 
Slots of Fun,male," 2nd go. Better feet. 
1 move crux, reachy"
Arete Right Side,male, Much harder for short people. Decent. 
Leftover Lover,male, Greasy but a decent if short little warmup
Silly Wabbit,male," 7 attempts? 6'4"" and i eventually just got the head height crimps, set feet, and rockover hucked for the lip. seems like with more pads the left heel on the hand start would be the cool static beta. but was just aiming to warmup, so i tall man'd it. pretty sure thats how it went 8 years ago, too."
Double Crimp,male, Contrivable if you are tall by going straight to lip. Was not an option for me.
1000 LB Caboose,male," w/ Nanda 2nd go, very tall person friendly"
1000 LB Caboose,male, non-eliminate. being tall makes thisvery chill. closer to 4/5. I think this may be full value if you&#39;re smaller and should take a higher grade.
Blankety Blank,male, 3rd try. Goal for the short session
Frankenspank,male, sent after many tries in a short end-of-day session with mags ben jeff. big move from the low right crimp.
Split Decision,male, Not much crack climbing on this crack. Almost flashed the harder (super reachy) arete line to the right years ago. 
